li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
0.016646179,0.09237924,-0.018629749,0.009096361,0.008054585,-0.011635089,0.010981912,-0.048555624,0.030405405,-0.054313099,0.022238164,-0.085901639
0.073820916,0.091237004,-0.015006821,-0.06683641,0.007539411,0.010387812,0.033826638,-0.034693878,0.015129683,-0.053851397,0.005113221,-0.028388928
0.011870846,0.091037139,-0.016666667,-0.014547115,0.008708273,0.000968523,0.041541491,-0.041726619,0.060638407,-0.096588183,0.004810262,-0.061685152
0.007968127,0.090909091,-0.045801527,0.035573123,0.048,0,0.092105263,-0.129770992,0.055299539,-0.128514056,0.009433962,-0.074235808
0.010989011,0.09057971,-0.021978022,-0.010869565,0.011111111,0.011235955,0.011111111,-0.010989011,0,-0.010989011,0,0
0,0.090342679,0,-0.032042724,0,0,0,0,0,0,0,0
0,0.08974359,0,0,0,0,0,0,0,0,0,0
0.038935756,0.089735582,-0.010262989,-0.026233604,0.003244646,-0.001296176,0.018481848,-0.020051746,0.033561644,-0.053791316,0.029577465,-0.058979457
0.037174721,0.089605735,-0.040998217,0.005376344,0.114,-0.07063197,0.008097166,-0.113105925,0.002053388,-0.022088353,0.021367521,-0.040983607
0,0.089409722,0,-0.0625,0.014084507,-0.013888889,0,-0.013888889,0.076923077,-0.084507042,0.063492063,-0.1
0.016009852,0.089292929,-0.019184652,0.010909091,0.053846154,-0.046454768,0.045698925,-0.094890511,0.127272727,-0.151670951,0.015384615,-0.126344086
0.01754386,0.08908046,0,-0.00862069,0.042682927,-0.049275362,0.080128205,-0.087719298,0.003215434,-0.077151335,0,0.009615385
0.082089552,0.088888889,-0.006426735,-0.105747126,0.015665796,-0.009055627,0.063800277,-0.073264781,0.00698324,-0.066492829,0.002808989,-0.012482663
0,0.088888889,0,0,0,0,0,0,0,-0.066666667,0,0
0.029411765,0.088095238,-0.007246377,-0.014285714,0.030075188,-0.02919708,0.073170732,-0.102189781,0.025,-0.090909091,0.034482759,-0.056910569
0.003994674,0.087975243,0,-0.00265252,0.012195122,-0.018617021,0.008163265,-0.016064257,0.01800554,-0.025641026,0.008275862,-0.013605442
0.002717391,0.08762421,-0.013404826,0.010840108,0.029891304,0,0.01971831,-0.063324538,0.028985507,-0.046961326,0.014450867,-0.025352113
0.070175439,0.087431694,-0.066666667,-0.016393443,0.038461538,-0.071428571,0,-0.037037037,0.06,-0.038461538,0,-0.075471698
