,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2065,300087,-1.126,10.54,10.58,10.76,10.5,10.66,771429.0,0.21916000000000002,8161903.0,70.267,5.991,453567.894834,370995.709306
2066,300086,-10.029,9.15,9.95,9.98,9.15,10.17,8169304.0,1.87514,76522128.0,82.063,2.201,411750.0,398631.746565
2067,300085,1.205,13.44,13.28,13.58,12.91,13.28,4623799.0,1.17823,61116496.0,418.692,7.277,949724.87904,527432.325504
2068,300084,0.844,4.78,4.63,4.84,4.6,4.74,5114040.0,1.64884,24148424.0,142.687,1.052,183918.022764,148256.366236
2069,300083,-0.451,4.41,4.41,4.55,4.19,4.43,14525695.0,1.21981,63364117.0,13.781,1.127,631373.335488,525148.043931
2070,300082,3.837,4.6,4.45,4.64,4.42,4.43,2379800.0,0.35313000000000005,10751109.0,14.839,1.081,313108.2,310003.2
2071,300081,2.534,10.52,10.26,10.68,10.19,10.26,4839672.0,1.5331700000000001,50701229.0,55.691,2.321,558325.725552,332078.087212
2072,300080,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,-2.862,1.334,293134.744243,292676.182095
2073,300079,2.907,3.54,3.43,3.56,3.4,3.44,20856771.0,1.72491,72770448.0,133.585,1.384,507486.917148,428040.760614
2074,300078,3.713,8.66,8.29,8.72,8.15,8.35,8893903.0,1.72194,75660272.0,54.125,3.368,699628.699244,447294.432418
2075,300077,2.863,10.78,10.11,10.88,9.84,10.48,55450253.0,10.22281,575964958.0,-12.25,2.386,607337.654,584725.2026
2076,300076,3.017,4.78,4.61,4.83,4.58,4.64,4719850.0,1.23597,22236673.0,-19.12,1.972,202672.0,182535.180236
2077,300075,3.244,13.05,12.6,13.13,12.56,12.64,4852573.0,1.76014,62260253.0,31.071,2.693,553764.881025,359778.67335
2078,300074,-10.016,5.75,5.75,5.75,5.75,6.39,759800.0,0.16099000000000002,4368850.0,90.125,2.624,312093.3825,271371.946325
2079,300073,5.456,29.96,28.48,30.49,28.03,28.41,9820136.0,2.9453300000000002,287557327.0,43.84,4.223,1308421.427908,998906.132952
