,ds,y
545,2008-03-05,15.761422
546,2008-03-06,15.310702
547,2008-03-07,15.477823999999998
548,2008-03-10,15.153709
549,2008-03-11,16.123528
550,2008-03-12,15.956404000000001
551,2008-03-13,16.198227
552,2008-03-14,16.029835000000002
553,2008-03-17,16.045030999999998
554,2008-03-18,16.816069
555,2008-03-19,16.417254999999997
556,2008-03-20,16.873043
557,2008-03-24,17.665609
558,2008-03-25,17.849192000000002
559,2008-03-26,18.365755
560,2008-03-27,17.756764999999998
561,2008-03-28,18.106205
562,2008-03-31,18.168249
563,2008-04-01,18.931692
564,2008-04-02,18.673409
565,2008-04-03,19.195032
566,2008-04-04,19.381149
567,2008-04-07,19.736916
568,2008-04-08,19.350758
569,2008-04-09,19.173507999999998
570,2008-04-10,19.567259
571,2008-04-11,18.629101000000002
572,2008-04-14,18.710129000000002
573,2008-04-15,18.786091
574,2008-04-16,19.459646
575,2008-04-17,19.559662
576,2008-04-18,20.388948000000003
577,2008-04-21,21.290395999999998
578,2008-04-22,20.2826
579,2008-04-23,20.623175
580,2008-04-24,21.389149
581,2008-04-25,21.48917
582,2008-04-28,21.806955
583,2008-04-29,22.162722
584,2008-04-30,22.023455
585,2008-05-01,22.789431
586,2008-05-02,22.908442
587,2008-05-05,23.388287
588,2008-05-06,23.632642999999998
589,2008-05-07,23.117348
590,2008-05-08,23.430073
591,2008-05-09,23.226233999999998
592,2008-05-12,23.82255
593,2008-05-13,24.050446
594,2008-05-14,23.581999
595,2008-05-15,24.021332
596,2008-05-16,23.754186999999998
597,2008-05-19,23.245222000000002
598,2008-05-20,23.536419
599,2008-05-21,22.560274
600,2008-05-22,22.415945
601,2008-05-23,22.937569
602,2008-05-27,23.603521
603,2008-05-28,23.67695
604,2008-05-29,23.63644
605,2008-05-30,23.897254999999998
606,2008-06-02,23.561745000000002
607,2008-06-03,23.469317999999998
608,2008-06-04,23.446531
609,2008-06-05,23.983345
610,2008-06-06,23.503498
611,2008-06-09,22.993279
612,2008-06-10,23.503498
613,2008-06-11,22.891985000000002
614,2008-06-12,21.936089000000003
615,2008-06-13,21.823418
616,2008-06-16,22.389353
617,2008-06-17,22.970484
618,2008-06-18,22.631172
619,2008-06-19,22.903381
620,2008-06-20,22.190578
621,2008-06-23,21.923435
622,2008-06-24,21.934832
623,2008-06-25,22.458988
624,2008-06-26,21.303059
625,2008-06-27,21.53475
626,2008-06-30,21.199244
627,2008-07-01,22.115879
628,2008-07-02,21.292925
629,2008-07-03,21.538548000000002
630,2008-07-07,22.176648999999998
631,2008-07-08,22.732457999999998
632,2008-07-09,22.061434
633,2008-07-10,22.362766
634,2008-07-11,21.850002
635,2008-07-14,22.014592999999998
636,2008-07-15,21.477774
637,2008-07-16,21.879123999999997
638,2008-07-17,21.752512
639,2008-07-18,20.909306
640,2008-07-21,21.053635
641,2008-07-22,20.513023
642,2008-07-23,21.049839000000002
643,2008-07-24,20.13446
644,2008-07-25,20.525684
645,2008-07-28,19.548271
646,2008-07-29,19.887577
647,2008-07-30,20.242079
648,2008-07-31,20.124338
649,2008-08-01,19.834401999999997
650,2008-08-04,19.400139000000003
651,2008-08-05,20.338301
652,2008-08-06,20.787760000000002
653,2008-08-07,20.709267
654,2008-08-08,21.466381
655,2008-08-11,21.974079
656,2008-08-12,22.375427
657,2008-08-13,22.700804
658,2008-08-14,22.703346
659,2008-08-15,22.250078
660,2008-08-18,22.205772
661,2008-08-19,21.970285
662,2008-08-20,22.262747
663,2008-08-21,22.066505
664,2008-08-22,22.383022
665,2008-08-25,21.846204999999998
666,2008-08-26,21.984209
667,2008-08-27,22.114607
668,2008-08-28,21.996868
669,2008-08-29,21.463854
670,2008-09-02,21.040974
671,2008-09-03,21.138464000000003
672,2008-09-04,20.411735999999998
673,2008-09-05,20.280066
674,2008-09-08,19.993925
675,2008-09-09,19.203897
676,2008-09-10,19.195032
677,2008-09-11,19.326704
678,2008-09-12,18.856993
679,2008-09-15,17.770692999999998
680,2008-09-16,17.709925
681,2008-09-17,16.184296
682,2008-09-18,16.976858
683,2008-09-19,17.840328
684,2008-09-22,16.591976000000003
685,2008-09-23,16.058956
686,2008-09-24,16.295711999999998
687,2008-09-25,16.703386
688,2008-09-26,16.236207999999998
689,2008-09-29,13.326756
690,2008-09-30,14.390260000000001
691,2008-10-01,13.815463000000001
692,2008-10-02,12.673456
693,2008-10-03,12.289835
694,2008-10-06,12.425307
695,2008-10-07,11.288364999999999
696,2008-10-08,11.368129
697,2008-10-09,11.235191
698,2008-10-10,12.255652
699,2008-10-13,13.959795999999999
700,2008-10-14,13.177357999999998
701,2008-10-15,12.401252000000001
702,2008-10-16,12.900085
703,2008-10-17,12.331614
704,2008-10-20,12.463287
705,2008-10-21,11.58336
706,2008-10-22,12.264515
707,2008-10-23,12.436698
708,2008-10-24,12.202475999999999
709,2008-10-27,11.659326
710,2008-10-28,12.649403
711,2008-10-29,13.236861
712,2008-10-30,14.058547
713,2008-10-31,13.621751000000001
714,2008-11-03,13.541986999999999
715,2008-11-04,14.052216
716,2008-11-05,13.078600999999999
717,2008-11-06,12.546847999999999
718,2008-11-07,12.437966000000001
719,2008-11-10,12.139171000000001
720,2008-11-11,11.998636999999999
721,2008-11-12,11.40991
722,2008-11-13,12.210074
723,2008-11-14,11.425105
724,2008-11-17,11.159225
725,2008-11-18,11.383321
726,2008-11-19,10.925001
727,2008-11-20,10.190675
728,2008-11-21,10.455286
729,2008-11-24,11.768208999999999
730,2008-11-25,11.496006
731,2008-11-26,12.027756
732,2008-11-28,11.73276
733,2008-12-01,11.259245
734,2008-12-02,11.707439
735,2008-12-03,12.141703999999999
736,2008-12-04,11.573236
737,2008-12-05,11.901148
738,2008-12-08,12.625346
739,2008-12-09,12.668391999999999
740,2008-12-10,12.434168
741,2008-12-11,12.027756
742,2008-12-12,12.441764
743,2008-12-15,11.996105
744,2008-12-16,12.082199000000001
745,2008-12-17,11.288364999999999
746,2008-12-18,11.322549
747,2008-12-19,11.394715
748,2008-12-22,10.855367
749,2008-12-23,10.936397
750,2008-12-24,10.766742
751,2008-12-26,10.864227
752,2008-12-29,10.965516000000001
753,2008-12-30,10.925001
754,2008-12-31,10.805989
755,2009-01-02,11.489671000000001
756,2009-01-05,11.974584
757,2009-01-06,11.777075
758,2009-01-07,11.52259
759,2009-01-08,11.736559
760,2009-01-09,11.46815
761,2009-01-12,11.225063
762,2009-01-13,11.104785000000001
763,2009-01-14,10.803457
764,2009-01-15,10.556573
765,2009-01-16,10.423635
766,2009-01-20,9.900742999999999
767,2009-01-21,10.486938
768,2009-01-22,11.18708
769,2009-01-23,11.18708
770,2009-01-26,11.349135
771,2009-01-27,11.487141000000001
772,2009-01-28,11.926472
773,2009-01-29,11.774541000000001
774,2009-01-30,11.411176
775,2009-02-02,11.585897000000001
776,2009-02-03,11.772008
777,2009-02-04,11.844173
778,2009-02-05,12.212603
779,2009-02-06,12.625346
780,2009-02-09,12.978583
781,2009-02-10,12.386058
782,2009-02-11,12.258182000000001
783,2009-02-12,12.568374
784,2009-02-13,12.554445
785,2009-02-17,11.968254
786,2009-02-18,11.947992999999999
787,2009-02-19,11.475746000000001
788,2009-02-20,11.546645
789,2009-02-23,11.008563
790,2009-02-24,11.426366999999999
791,2009-02-25,11.541583000000001
792,2009-02-26,11.292163
793,2009-02-27,11.307357000000001
794,2009-03-02,11.133904
795,2009-03-03,11.188345
796,2009-03-04,11.542848
797,2009-03-05,11.247850999999999
798,2009-03-06,10.799662
799,2009-03-09,10.522389
800,2009-03-10,11.221263
801,2009-03-11,11.734026
802,2009-03-12,12.198678
803,2009-03-13,12.1455
804,2009-03-16,12.080932
805,2009-03-17,12.617751
806,2009-03-18,12.853237
807,2009-03-19,12.865902
808,2009-03-20,12.862102
809,2009-03-23,13.630612
810,2009-03-24,13.483749
811,2009-03-25,13.482484
812,2009-03-26,13.910414999999999
813,2009-03-27,13.528061
814,2009-03-30,13.229266
815,2009-03-31,13.309031
816,2009-04-01,13.761019000000001
817,2009-04-02,14.269982999999998
818,2009-04-03,14.685257
819,2009-04-06,14.996711999999999
820,2009-04-07,14.559919
821,2009-04-08,14.727042
822,2009-04-09,15.138514
823,2009-04-13,15.220809
824,2009-04-14,14.978985999999999
825,2009-04-15,14.894162
