,code,mbrg2018_1,nprg2018_1,nav2018_1,targ2018_1,epsg2018_1,seg2018_1,mbrg2017_2,nprg2017_2,nav2017_2,targ2017_2,epsg2017_2,seg2017_2,mbrg2017_3,nprg2017_3,nav2017_3,targ2017_3,epsg2017_3,seg2017_3,mbrg2017_4,nprg2017_4,nav2017_4,targ2017_4,epsg2017_4,seg2017_4,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
1582,000488,15.4207,11.5586,29.5776,22.6213,6.8966,25.7391,29.631999999999998,88.7273,17.5511,5.9329,66.6667,17.8191,32.3264,77.1022,20.8504,15.1972,56.7568,21.0788,30.3165,85.8475,34.1652,28.3644,71.7172,25.0226,1.582,12.84,12.64,12.9,12.47,12.64,13108694.0,1.18589,166363406.0,7.553,1.33,2486344.619628,1419320.18862
1583,603100,13.7499,11.5397,5.7859,5.6894,16.6667,5.7331,-2.1777,14.3531,5.8817,6.3044,12.5,6.0395,2.9437,19.0491,5.3565,5.0384,16.6667,5.4817,-4.1095,29.2649,6.2896,4.5449,21.2121,6.1709,1.675,8.5,8.36,8.51,8.27,8.36,825050.0,0.31901,6914871.0,21.25,1.661,335750.0,219831.3741
1584,002382,-4.3867,11.5124,2.4875,14.5668,9.0909,2.4381,22.701999999999998,5.8544,9.6373,9.7239,5.0,9.599,19.2594,8.6829,9.6918,16.6702,6.6667,9.6501,22.2828,12.0083,9.8673,15.7542,10.8108,9.7975,2.229,18.8,18.4,19.0,17.71,18.39,7353374.0,1.5120300000000002,134691437.0,45.854,6.614,1626529.16168,914291.89676
1585,000682,9.8612,11.4292,6.3799,10.2247,-8.2353,2.3858,3.1094,14.2601,56.3966,36.2084,16.0173,11.1638,10.5118,32.5319,56.9336,35.8463,19.398,11.2732,14.1969,25.6735,55.6416,40.6244,6.2193,10.9389,1.887,3.78,3.7,3.79,3.7,3.71,1968711.0,0.2013,7361091.0,58.243,2.111,506794.808646,369691.505946
1586,603315,65.3198,11.3738,50.1491,27.2014,25.0,50.1669,-40.1184,-63.4654,0.7692,-3.7652,-63.4643,0.7692,-25.5912,-30.1766,1.8381,5.5407,-30.1624,1.8381,-9.3328,-74.2313,50.3131,28.5451,-74.2941,50.317,0.0,12.44,0.0,0.0,0.0,12.44,0.0,0.0,0.0,284.668,2.781,273618.920844,248800.0
1587,300696,8.9773,11.3725,140.5244,119.3279,-18.75,140.5244,157.3769,215.7748,,,218.1818,,126.2512,168.7696,,,162.963,,14.3411,7.9976,144.3956,112.0661,-3.0303,144.3956,6.246,31.98,29.52,32.49,29.52,30.1,2181552.0,7.43922,68586955.0,24.984,3.114,374853.57,93781.35
1588,002557,28.4421,11.356,3.4819999999999998,15.7468,13.3333,3.9589999999999996,-3.3641,-15.427999999999999,3.7471,1.6327,-13.8235,4.3368,-0.8765,-13.7266,3.4227,17.0321,-13.7037,3.9702,2.5541,-10.4025,3.3054,10.7517,-10.0,3.8569999999999998,2.476,15.73,15.33,15.75,15.16,15.35,5442611.0,1.07349,84572844.0,24.968,2.535,797511.0,797511.0
1589,002561,1.6392,11.3505,4.5214,4.9037,13.3333,4.4358,1.6049,-4.2023,4.7703,2.5182,-3.4483,4.5326,0.3312,-4.0766,4.535,2.5979,-4.878,4.2874,0.0806,-1.6765,4.3032,3.5908,-1.7212,4.226,1.243,8.96,8.86,8.99,8.8,8.85,1245801.0,0.3136,11088030.0,15.692,1.679,372523.648,355946.882816
1590,002153,-3.1784,11.332,7.4913,15.9642,0.0,5.6105,16.34,1.4907,5.8769,8.7183,6.25,7.042999999999999,19.3034,2.1879,5.2388,5.8715,4.0,6.7591,11.2138,4.7231,5.3224,12.0558,8.3333,6.3169,4.168,26.99,25.88,27.44,25.58,25.91,8197463.0,1.6921,217772796.0,69.205,5.41,2879262.844347,1307546.860057
1591,002686,32.959,11.2999,17.8138,41.8912,18.9189,8.602,40.7326,7.1147,53.1805,54.836000000000006,-0.6803,58.3526,37.121,9.647,51.528,55.6173,5.7269,56.9832,38.4458,13.7279,50.2489,55.0875,9.622,55.833,-6.861,7.33,7.86,7.87,7.2,7.87,3932400.0,1.20644,28910384.0,22.978,2.129,324779.121393,238921.922473
