,x,y,yd1,yvals
2156,900345600,1.058364,-2.3778404119992063e-08,1.2094010884035242
2157,900432000,1.090015,-2.377253795434302e-08,1.2073468874830837
2158,900518400,1.18695,-2.3766640823397546e-08,1.2052931947370666
2159,900604800,1.167167,-2.3760712727156064e-08,1.2032400128406948
2160,900864000,1.147385,-2.3742742646653877e-08,1.1970835590045112
2161,900950400,1.127602,-2.3736690689227516e-08,1.1950324472614398
2162,901036800,1.10782,-2.3730607766504724e-08,1.1929818597453732
2163,901123200,1.105842,-2.3724493878486136e-08,1.190931799131306
2164,901209600,1.097928,-2.3718349025170904e-08,1.1888822680949147
2165,901468800,1.090015,-2.3699728673448526e-08,1.1827368792054358
2166,901555200,1.064298,-2.3693459958948416e-08,1.1806894932337286
2167,901641600,1.111776,-2.3687160279152298e-08,1.1786426502164886
2168,901728000,1.155298,-2.3680829634059748e-08,1.1765963528290513
2169,901814400,1.09595,-2.3674468023671402e-08,1.1745506037473206
2170,902073600,1.111776,-2.36551974007282e-08,1.1684166730888137
2171,902160000,1.082103,-2.364871192915455e-08,1.1663731439828098
2172,902246400,1.139472,-2.3642195492285107e-08,1.1643301765592469
2173,902332800,1.167167,-2.363564809011902e-08,1.1622877734933468
2174,902419200,1.155298,-2.3629069722657135e-08,1.160245937460843
2175,902678400,1.200797,-2.360914882849353e-08,1.1541238583171776
2176,902764800,1.234428,-2.360244659984677e-08,1.1520843171717274
2177,902851200,1.268058,-2.3595713405903363e-08,1.150045356436351
2178,902937600,1.248275,-2.358894924666416e-08,1.148006978786782
2179,903024000,1.281906,-2.3582154122128316e-08,1.145969186898526
2180,903283200,1.327406,-2.356158295674452e-08,1.1398593525532874
2181,903369600,1.3471879999999998,-2.355466397102401e-08,1.137823930463071
2182,903456000,1.297732,-2.354771402000749e-08,1.1357891075109023
2183,903542400,1.285862,-2.3540733103694326e-08,1.1337548863722304
2184,903628800,1.361036,-2.3533721222085578e-08,1.1317212697226182
2185,903888000,1.303666,-2.3512499785480746e-08,1.1256240734600738
2186,903974400,1.291797,-2.350536404268712e-08,1.1235929015199986
2187,904060800,1.277949,-2.349819733459664e-08,1.1215623474453764
2188,904147200,1.18695,-2.3490999661210573e-08,1.1195324139123954
2189,904233600,1.082103,-2.3483771022527864e-08,1.1175031035957659
2190,904492800,0.987146,-2.3461899314702842e-08,1.111418938700524
2191,904579200,1.080124,-2.3454546814835254e-08,1.1093921480045879
2192,904665600,1.125624,-2.344716334967187e-08,1.1073659939027607
2193,904752000,1.09595,-2.3439748919211843e-08,1.105340479069696
2194,904838400,1.111776,-2.3432303523455808e-08,1.1033156061812406
2195,905184000,1.210689,-2.340221228746947e-08,1.095222587580281
2196,905270400,1.182993,-2.3394612065232126e-08,1.0932009645453604
2197,905356800,1.206732,-2.3386980877698984e-08,1.0911799995071192
2198,905443200,1.190906,-2.33793187248692e-08,1.089159695141234
2199,905702400,1.177058,-2.3356146474603163e-08,1.0831027728318645
2200,905788800,1.20871,-2.334836046058871e-08,1.0810851379093833
2201,905875200,1.181015,-2.334054348127825e-08,1.0790681770360493
2202,905961600,1.139472,-2.333269553667115e-08,1.077051892887539
2203,906048000,1.163211,-2.332481662676825e-08,1.0750362881392448
2204,906307200,1.169145,-2.33009941052816e-08,1.0689935770487295
2205,906393600,1.171123,-2.329299133419382e-08,1.0669807166546548
2206,906480000,1.212667,-2.32849575978094e-08,1.064968549037701
2207,906566400,1.218602,-2.3276892896129183e-08,1.0629570768737153
2208,906652800,1.226515,-2.3268797229152534e-08,1.060946302837408
2209,906912000,1.236406,-2.3244324436445694e-08,1.0549181962497869
2210,906998400,1.250254,-2.3236104908283955e-08,1.052910241479026
2211,907084800,1.206732,-2.322785441482642e-08,1.0509029982133598
2212,907171200,1.129581,-2.3219572956072453e-08,1.048896469128124
2213,907257600,1.109798,-2.3211260532022478e-08,1.0468906568983698
2214,907516800,1.018799,-2.3186137468094812e-08,1.0408775480977965
2215,907603200,1.030668,-2.317770118286017e-08,1.0388746300451999
2216,907689600,1.010885,-2.3169233932328674e-08,1.0368724422253877
2217,907776000,0.975277,-2.3160735716501593e-08,1.034870987313525
2218,907862400,1.111776,-2.315220653537787e-08,1.032870267985345
2219,908121600,1.184971,-2.312643320022959e-08,1.0268725502559164
2220,908208000,1.226515,-2.311778015792141e-08,1.0248748000159935
2221,908294400,1.182993,-2.3109096150316587e-08,1.022877798736431
2222,908380800,1.159254,-2.3100381177415757e-08,1.0208815490928487
2223,908467200,1.161232,-2.3091635239218494e-08,1.0188860537606388
2224,908726400,1.18695,-2.3065211632850237e-08,1.0129041203865086
2225,908812800,1.14145,-2.3056341833468096e-08,1.010911669053712
2226,908899200,1.17508,-2.304744106879016e-08,1.008919985409534
2227,908985600,1.163211,-2.303850933881558e-08,1.0069290721289121
2228,909072000,1.123646,-2.3029546643545202e-08,1.004938931887466
2229,909331200,1.184971,-2.3002472765955908e-08,0.9989731761525036
2230,909417600,1.115733,-2.2993386209500653e-08,0.9969861548217409
2231,909504000,1.165189,-2.2984268687748966e-08,0.9949999199071726
2232,909590400,1.153319,-2.297512020070127e-08,0.9930144740843616
2233,909676800,1.17508,-2.2965940748356934e-08,0.9910298200283592
2234,909936000,1.190906,-2.293821659954766e-08,0.9850806352162635
2235,910022400,1.196841,-2.2928913286018444e-08,0.9830991749822147
2236,910108800,1.224537,-2.291957900719343e-08,0.981118519892334
2237,910195200,1.20871,-2.2910213763071987e-08,0.9791386726216729
2238,910281600,1.204754,-2.2900817553654535e-08,0.9771596358459647
2239,910540800,1.159254,-2.2872443133624225e-08,0.9712274152411169
2240,910627200,1.111776,-2.2862923063022106e-08,0.9692516471986323
2241,910713600,1.0623200000000002,-2.2853372027123132e-08,0.9672767030275509
2242,910800000,1.076168,-2.2843790025928574e-08,0.9653025854040607
2243,910886400,1.129581,-2.2834177059437372e-08,0.9633292970029856
2244,911145600,1.139472,-2.2805152368186872e-08,0.9574144338895962
2245,911232000,1.101885,-2.2795415540510792e-08,0.9554444891327876
2246,911318400,1.121668,-2.2785647747538915e-08,0.9534753869759811
2247,911404800,1.131559,-2.2775848989270183e-08,0.9515071300939439
2248,911491200,1.117711,-2.2766019265705867e-08,0.9495397211623526
2249,911750400,1.147385,-2.2736344303234754e-08,0.9436426088241205
2250,911836800,1.137493,-2.2726390718485348e-08,0.9416786184484067
2251,911923200,1.111776,-2.271640616843951e-08,0.93971548939993
2252,912096000,1.109798,-2.2696344172459598e-08,0.9357918259866551
2253,912355200,1.010885,-2.2666018938768295e-08,0.9299128577079614
2254,912441600,1.080124,-2.265584859694514e-08,0.927954952807454
2255,912528000,1.139472,-2.2645647289826186e-08,0.9259979279622144
2256,912614400,1.066276,-2.263541501741059e-08,0.9240417858473506
2257,912700800,1.036602,-2.26251517796992e-08,0.9220865291389941
2258,912960000,1.068255,-2.259417627478707e-08,0.9162260982034809
2259,913046400,1.014842,-2.25837891758908e-08,0.9142744098728599
2260,913132800,1.012864,-2.2573371111697886e-08,0.9123236203254805
2261,913219200,1.012864,-2.2562922082209176e-08,0.910373732236792
2262,913305600,1.068255,-2.2552442087424035e-08,0.9084247482817318
2263,913564800,1.02869,-2.2520816311291716e-08,0.902583247973439
2264,913651200,1.0623200000000002,-2.2510212455321485e-08,0.9006379073077824
2265,913737600,1.038581,-2.2499577634055457e-08,0.8986934841530001
2266,913824000,1.058364,-2.2488911847492997e-08,0.8967499811846551
2267,913910400,1.113754,-2.247821509563453e-08,0.8948074010775713
2268,914169600,1.109798,-2.2445939048281386e-08,0.8889852246807664
2269,914256000,1.202775,-2.2435118435237828e-08,0.8870463627745835
2270,914342400,1.260145,-2.2424266856898262e-08,0.885108437107192
2271,914428800,1.242341,-2.2413384313262265e-08,0.8831714503535295
2272,914774400,1.293775,-2.2369544485756714e-08,0.8754329459882229
2273,914860800,1.291797,-2.235850711563983e-08,0.8735006939363075
2274,914947200,1.268058,-2.2347438780226515e-08,0.871569396850532
2275,915033600,1.2957530000000002,-2.2336339479517403e-08,0.8696390574068005
2276,915379200,1.3056450000000002,-2.22916326237177e-08,0.8619273295585685
2277,915465600,1.370927,-2.2280378496527067e-08,0.8600018184552596
2278,915552000,1.3214709999999998,-2.2269093404040637e-08,0.8580772810460644
2279,915638400,1.424339,-2.2257777346257564e-08,0.8561537200065459
2280,915724800,1.424339,-2.2246430323178695e-08,0.8542311380123238
2281,915984000,1.452035,-2.2212203462163923e-08,0.8484692930542792
2282,916070400,1.459948,-2.2200732577900175e-08,0.8465506539942567
2283,916156800,1.471818,-2.2189230728339995e-08,0.8446330073565491
2284,916243200,1.309601,-2.2177697913483808e-08,0.8427163558163784
2285,916329600,1.307623,-2.2166134133330978e-08,0.8408007020488526
2286,916675200,1.293775,-2.2119569359758517e-08,0.8331481182163429
2287,916761600,1.283884,-2.2107850753125012e-08,0.8312374934445756
2288,916848000,1.228493,-2.2096101181194863e-08,0.8293278824981485
2289,916934400,1.226515,-2.208432064396913e-08,0.8274192880524538
